query,category
Is there a reason my new card hasn't arrived?,delivery_tracking
"I would like to track a card sent to me, how do I do that?",delivery_tracking
Is there a tracking number for the card?,delivery_tracking
can you share card tracking number?,delivery_tracking
"I have not received my card and it's been a week, what do I do?",delivery_tracking
Is there a way I can check on the card on route to me?,delivery_tracking
When will my new card arrive?,delivery_tracking
Why haven't I received my new card yet?,delivery_tracking
What is the expected delivery date of my card?,delivery_tracking
My card hasn't came in the mail yet?,delivery_tracking
I haven't received my card.,delivery_tracking
Is it possible for me to track the card is was mailed to me?,delivery_tracking
When will my new card be delivered?,delivery_tracking
I was issued a card about a week ago. why hasn't it come in yet?,delivery_tracking
Can you please tell me where my card is? I ordered it 2 weeks ago!,delivery_tracking
I still haven't received my card in the mail,delivery_tracking
I'm still waiting for my card that was issued a week ago. What should I do?,delivery_tracking
I still haven't gotten my new card.  When will it get here?,delivery_tracking
Do you have a tracking number for the card I was sent?,delivery_tracking
How do I track the card you sent to me?,delivery_tracking
Is my new bank card on the way and is there a way to track it?,delivery_tracking
Could you send me and up date on the arrival of my card?,delivery_tracking
How long does it take to recieve my new card?,delivery_tracking
My card has not come in the mail yet.,delivery_tracking
What's the card you sent me's tracking number?,delivery_tracking
i havent got my card,delivery_tracking
Why hasn't my card arrived yet?,delivery_tracking
I thought I would have received my new card at this point.,delivery_tracking
How long until my new card gets here?,delivery_tracking
How much longer until I get my new card?,delivery_tracking
Am I able to track a card that has already been sent?,delivery_tracking
Is it possible to track the card you sent me?,delivery_tracking
How long will it be to get this new card?,delivery_tracking
how can i track card you sent,delivery_tracking
Can the card was sen to me be tracked?,delivery_tracking
why have i not got my new card?,delivery_tracking
I need to track the card sent to me.,delivery_tracking
"It's been two weeks and I haven't gotten my card, what do I do?",delivery_tracking
I was expecting my new card by now.,delivery_tracking
Where is the tracking number for the card?,delivery_tracking
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,delivery_tracking
Can I track the card that you sent me in the mail?,delivery_tracking
Can you tell me if I can track the card you sent me?,delivery_tracking
Why have I not gotten my new card?,delivery_tracking
I'm still waiting on my new card to be delivered!,delivery_tracking
My new card isn't here and it was issued a week ago.,delivery_tracking
"I was supposed to receive my new card by now, but it hasn't came in.",delivery_tracking
Is a tracking number available for the card that was just sent?,delivery_tracking
Why haven't I gotten my new card?,delivery_tracking
Was there a number to track that I could get?,delivery_tracking
How much longer is it going to take to get my new card?,delivery_tracking
I haven't gotten my credit card in the mail.,delivery_tracking
My card hasn't arrived yet. What do I do?,delivery_tracking
"My card still hasn't arrived after two weeks, now what?",delivery_tracking
My card appears to have never arrived?,delivery_tracking
My card never arrived.,delivery_tracking
Why is there an extra fee on my statement?,billing_charge_dispute
Why did they charge me an extra $1?,billing_charge_dispute
Why is there a 1 euro fee on my statement?,billing_charge_dispute
Why do I see an extra £1 charge on my statement?,billing_charge_dispute
I am inquiring about a $1 charge on my statement.,billing_charge_dispute
What is the $1 transaction on my account?,billing_charge_dispute
What is this extra pound charge for?,billing_charge_dispute
I was charged $1 in a transaction.,billing_charge_dispute
What is the reason for the extra fee on my statement?,billing_charge_dispute
There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,billing_charge_dispute
Have have a small charge on my account from someone I purchased with but I'm not sure what it relates to.,billing_charge_dispute
"I have a strange transaction for £1 on my statement, what is that?",billing_charge_dispute
I have no idea why there is a dollar that has been charged to my account.,billing_charge_dispute
I have been charged a pound for something that appears on my statement,billing_charge_dispute
Why is there a $1 charge on my statement?,billing_charge_dispute
Where did this extra €1 fee on my statement come from?,billing_charge_dispute
Is there a reason why there is an extra £1 charge on my account?,billing_charge_dispute
Can you tell me what this fee is on my statement?,billing_charge_dispute
Why has another fee been placed on my statement?,billing_charge_dispute
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,billing_charge_dispute
€1 was in my statement as an extra fee.,billing_charge_dispute
Why is there an extra charge on my statement.,billing_charge_dispute
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",billing_charge_dispute
I see a $1 charge in a transaction.,billing_charge_dispute
I had to pay a pound more than I anticipated!,billing_charge_dispute
There is a €1 extra fee in my statement,billing_charge_dispute
My statement contained a one pound extra fee,billing_charge_dispute
I checked my account today and saw that I was charged an extra pound that I did not spend.,billing_charge_dispute
What is the extra €1 on my statement for?,billing_charge_dispute
I see I was charged $1 for a transaction.,billing_charge_dispute
$1 charge in transaction.,billing_charge_dispute
"I just looked at my app and it seems I was charged extra, why is that?",billing_charge_dispute
Why is there an extra pound charge that is pending?,billing_charge_dispute
I was wrongfully charged one pound.,billing_charge_dispute
Why is there an extra fee charged?,billing_charge_dispute
"I just checked my statement and saw a $1 charge, why is it there?",billing_charge_dispute
There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,billing_charge_dispute
Why have I been charged an extra pound?,billing_charge_dispute
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,billing_charge_dispute
Why do I see an extra €1 charge on my statement?,billing_charge_dispute
Is the 1 pound charge I can see an error or an incorrect entry?,billing_charge_dispute
Why did I get a $1 extra fee on the statement?,billing_charge_dispute
Why was I charged $1 in a transaction?,billing_charge_dispute
why is there a service fee on my statement?,billing_charge_dispute
"My statement shows a 1£ purchase pending. I do not remember making this purchase, please let me know what this is about.",billing_charge_dispute
I am seeing and extra 1$ charged to my account and wanted to know about it.,billing_charge_dispute
Why did you charge me extra?,billing_charge_dispute
An extra pound was charged!,billing_charge_dispute
I got billed an extra pound!,billing_charge_dispute
Why do I see an extra fee on my statement?,billing_charge_dispute
"There must have been a mistake, why was I charged an extra pound?",billing_charge_dispute
"When I look at my statement there is an extra fee, that is for what?",billing_charge_dispute
There is an extra small charge on my card! What do I do?,billing_charge_dispute
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",billing_charge_dispute
I got a €1 extra fee in my statement,billing_charge_dispute
What is the extra fee on my statement?,billing_charge_dispute
Why have I been charged an extra £1?,billing_charge_dispute
"In my statement, I got a €1 extra fee.",billing_charge_dispute
Why is there a charge for $1 on my account?,billing_charge_dispute
"On my statement, there is a strange 1£ charge that appears as pending. What's causing that? I haven't purchased anything that's just a pound.",billing_charge_dispute
what was the $1 fee i got,billing_charge_dispute
I see a charge of 1L I do not recognize on my statement,billing_charge_dispute
I was overcharged one extra pound!,billing_charge_dispute
I noticed an extra pound charge?,billing_charge_dispute
I have been charged an extra pound!,billing_charge_dispute
Why does my statement show a $1 charge on my account?,billing_charge_dispute
Why has my card been charged an extra pound?,billing_charge_dispute
Why does my statement have an extra fee?,billing_charge_dispute
There is a  €1 fee on my account I didn't authorize,billing_charge_dispute
I was made to pay an additional pound!,billing_charge_dispute
I was charged an extra pound for no reason. Why is that?,billing_charge_dispute
It appears I have a fee in my statement.,billing_charge_dispute
When did I get a $1 extra fee on my statement?,billing_charge_dispute
What is this fee debit on my account?,billing_charge_dispute
I was charged an extra dollar on my account and would like to know the reason.,billing_charge_dispute
What is this extra €1 fee about?,billing_charge_dispute
I was overcharged a pound.,billing_charge_dispute
Why do i have an extra fee on my statement?,billing_charge_dispute
What was the $1 charge for on my statement?,billing_charge_dispute
I had a dollar charged to my account that's still pending and wanted to know what the charge is for?,billing_charge_dispute
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,billing_charge_dispute
What am I being charged an extra pound when I haven't bought something worth that much?,billing_charge_dispute
why was i charged a small amount,billing_charge_dispute
Do you also have this extra fee on your statement?,billing_charge_dispute
Why did I get charged one pound seemingly randomly?,billing_charge_dispute
Why was I charged an extra pound?,billing_charge_dispute
I am being charged a pound out of nowhere. What is this?,billing_charge_dispute
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,billing_charge_dispute
Why did you guys charge me an extra €1?,billing_charge_dispute
Why was I charged more than I should have been?,billing_charge_dispute
What is the fee on my statement for?,billing_charge_dispute
"Hello, there seems to be a billing mistake associated with my account.  My app was charged $1 more than it should have.  Could you please explain why this may have happened?",billing_charge_dispute
Why is there a pending hold on one pound on my statement?,billing_charge_dispute
I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,billing_charge_dispute
What is this $1 charge on my account?,billing_charge_dispute
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,billing_charge_dispute
Why did a transaction I made charge me $1?,billing_charge_dispute
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",billing_charge_dispute
I still have not received an answer as to why I was charged $1.00 in a transaction?,billing_charge_dispute
Why does my statement show an extra fee?,billing_charge_dispute
"There's an extra fee on my statement, why is that?",billing_charge_dispute
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,billing_charge_dispute
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,billing_charge_dispute
Can you tell me about why the account I have was charged an extra 1$,billing_charge_dispute
why does my statement contain an extra fee?,billing_charge_dispute
Can you tell me why I was charged $1 for a transaction?,billing_charge_dispute
Why is there an extra €1 fee in my statement?,billing_charge_dispute
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?",billing_charge_dispute
What is the dollar that I have pending on my statement there?,billing_charge_dispute
"I see an extra $1  charge on my statement, why is this?",billing_charge_dispute
Can you please explain to me why there is an extra €1 fee in my statement?,billing_charge_dispute
"There is an unexplained $1 charge on my statement, can you please explain this to me?",billing_charge_dispute
How can I find out about an extra fee on my statement?,billing_charge_dispute
"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?",billing_charge_dispute
"In my statement, there was an extra €1 fee",billing_charge_dispute
Is there a reason there's an extra fee on my statement?,billing_charge_dispute
What is this extra fee on my statement.,billing_charge_dispute
What does the €1 fee mean?,billing_charge_dispute
"There's a €1 fee on my statement, why?",billing_charge_dispute
Why was I charged an additional $1?,billing_charge_dispute
I checked my statement and am being charged one pound. Where did this charge come from?,billing_charge_dispute
I do not know why I was charged for the $1 transaction.,billing_charge_dispute
I wanted to know about a pending dollar that is on my statement.,billing_charge_dispute
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as ""pending"", it never changes, and now I'm thinking someone's hacked my account!",billing_charge_dispute
How come there is a $1 extra charge on my statement?,billing_charge_dispute
I was charged an extra pound.,billing_charge_dispute
There is a charge for an additional pound.,billing_charge_dispute
There is a strange 1£ charge that appears as pending on my statement. What's the cause for that? I haven't purchased anything for a pound.,billing_charge_dispute
I need to know what these extra charges are on my statement?,billing_charge_dispute
How come there is an extra fee on my statement?,billing_charge_dispute
Why is there an extra charge of 1 dollar on my statement?,billing_charge_dispute
"I checked my statement and saw a charge of one pound, where is this charge coming from?",billing_charge_dispute
I don't understand why there is an extra €1 fee in my statement.,billing_charge_dispute
Why was I charged extra on my app?,billing_charge_dispute
Why was my account assessed a fee?,billing_charge_dispute
There is an extra 1£ charge on my app. Why did you charge me extra?,billing_charge_dispute
Why i'm I being charged an extra pound,billing_charge_dispute
The $1.00 has still not been reverted as indicated in the previous email.,billing_charge_dispute
My statement shows and extra 1$ that was charged to it and I would like to know why.,billing_charge_dispute
"There is an extra $1 charge on my statement, why is that?",billing_charge_dispute
Is the 1 pound charge going to be reimbursed on my card?,billing_charge_dispute
I  see an extra 1£ charge on my app. Why did It charge me extra?,billing_charge_dispute
Why is there a fee added to my statement?,billing_charge_dispute
Why would there be an extra charge on my app?,billing_charge_dispute
There is a charge for 1£ on my statement.  I do not think that I bought anything that costed 1£.  What is going on?,billing_charge_dispute
Why does my transaction have an added fee?,billing_charge_dispute
There is  an extra 1£ charge on my app. Why did it charge me extra?,billing_charge_dispute
Why is there an additional fee showing on the statement I received?,billing_charge_dispute
How come I was charged a transaction of $1?,billing_charge_dispute
Please explain the charge of 1L in error.  I have purchased nothing in this amount.,billing_charge_dispute
Where did the  €1 fee in my statement come from,billing_charge_dispute
What is this random charge of one pound doing on my account?,billing_charge_dispute
I had to pay one pound more than the set price!,billing_charge_dispute
My statement is showing an extra £1 charge and I am unsure why. Is there an explanation for this?,billing_charge_dispute
Do I have a $1 extra fee on the statement?,billing_charge_dispute
Why is it showing that my account has been charged a dollar that is showing as pending?,billing_charge_dispute
"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",billing_charge_dispute
My statement shows an extra fee - what is it?,billing_charge_dispute
What is this €1 charge?,billing_charge_dispute
How long will the $1 charge show as pending?,billing_charge_dispute
I've been charged an extra £1 and I don't know what it's for,billing_charge_dispute
I was overcharged an additional pound.,billing_charge_dispute
I've been charged an extra £1 and I don't know why,billing_charge_dispute
My statement is showing I was Charged a dollar and I am not sure why.,billing_charge_dispute
Why is there a €1 charge on my statement?,billing_charge_dispute
An extra fee of €1 was in my statement,billing_charge_dispute
I can't use my card because it is not working.,technical_issue
I can't seem to be able to use my card,technical_issue
"My card isn't working at all, I need assistance. It's really frustrating.",technical_issue
Can you tell me what the problem with my card is? It was declined at a restaurant today.,technical_issue
How do I fix a broken card?,technical_issue
My card was working but now it doesn't.,technical_issue
I cannot seem to use my card.,technical_issue
I think my card is broke it's not working anymore,technical_issue
I have not been able to use this card.,technical_issue
What do I do if i accidentally broke my card?,technical_issue
How come my card doesn't work anymore?,technical_issue
"For a week now, I have tried to use my card and it is still not working.",technical_issue
My actual card isn't functioning.,technical_issue
I can't get the card itself to work.,technical_issue
What should I do if my card doesn't work?,technical_issue
Why won't my card work.,technical_issue
My card will not work,technical_issue
My card is not working.,technical_issue
HOW LONG THE CARD VALIDITY,technical_issue
My card seems to not be working at all.,technical_issue
My card gets rejected when I try to use it,technical_issue
I am unable to use my card for some reason.,technical_issue
Why can't I use my card?,technical_issue
I think my card is broke?,technical_issue
What do I do?  My card is broken.,technical_issue
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",technical_issue
My card was declined at a restaurant today and I don't know what the problem is.,technical_issue
WHAT IS THE REASON FOR THAT,technical_issue
My card is not working when I try to use it.,technical_issue
How do I check security settings on my card?,technical_issue
My card isn't working at all. What happened?,technical_issue
Today I was out eating and my card was declined. Why's that?,technical_issue
What are ways to test why my card might not be working?,technical_issue
Currently my card is broken.,technical_issue
My card won't work at all for anything.,technical_issue
How do I fix my card if it is broken?,technical_issue
Why doesn't my card work for any transactions?,technical_issue
"I tried using my card, but it doesn't work.",technical_issue
My card hasn't been working for even small transactions today.,technical_issue
What do I do if the machine rejects my card?,technical_issue
Something's wrong my card won't work.,technical_issue
I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,technical_issue
"Suddenly, my card won't work.",technical_issue
My card hasn't been working when I try to use it.,technical_issue
My physical card is not working,technical_issue
Why is my physical card not working?,technical_issue
Help.  My card is broken.,technical_issue
I am unable to use my card.,technical_issue
"No transactions are being accepted, what's wrong with my card?",technical_issue
Is my card frozen?,technical_issue
My card was declined at a restaurant today and I am not sure why.,technical_issue
What do I do now that I can't use this card?,technical_issue
My card doesn't seem to work anymore,technical_issue
"Out of the blue, my card stopped working.",technical_issue
I can't seem to use my card. Can you help?,technical_issue
How do I re-order a damaged card?,technical_issue
Why is my card not working anymore?,technical_issue
I can't use my card for anything,technical_issue
What's wrong with my card? The clerk at the grocery store said it was declined.,technical_issue
What should I do if I can't use my card?,technical_issue
Can I use app to reset PIN attempts?,technical_issue
Please help.  The card won't work.,technical_issue
I wasn't able to use my card today when I went out for lunch. Wondering why that is?,technical_issue
My card doesn't seem to work.,technical_issue
Currently I can't get my card to work.,technical_issue
WHAT IS THE MAIN REASON OF THIS PROBLEM,technical_issue
How do I get my card to work?,technical_issue
What can I do to make my physical card work?,technical_issue
Can you tell me why I can't make any transactions?,technical_issue
There is something wrong with my card. Tried to use it a few times today in different places and it just didn't work. The transactions I tried to make were really small so not sure what's going on,technical_issue
Can you tell me whats going on with my card it seems to be not working?,technical_issue
How do I check security settings using the app?,technical_issue
I tried using my card at multiple vendors and now it's not working.,technical_issue
"Can you help me with my card, I think it's broke.",technical_issue
The card is non-functional.,technical_issue
I haven't been able to complete any transactions on my card today. Do you know what's wrong?,technical_issue
Today I used my card at a restaurant and it was declined. Why?,technical_issue
Did you deactivate my card it's not working anymore,technical_issue
Need help to get my card to work.,technical_issue
Why isn't my card working anymore?,technical_issue
Why won't my card work anymore?,technical_issue
Why won't the machine accept my card anymore?,technical_issue
When I was in a restaurant today my card was declined and payment wouldn't go through and I need help. Can you fix this?,technical_issue
What to do if my physical card is not working?,technical_issue
My card stopped working after multiple transactions. Why?,technical_issue
Why won't my card accept any transactions?,technical_issue
"I think my card is broken or something. I tried using it and it wouldn't go through, please help.",technical_issue
My card is broken,technical_issue
I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account?,technical_issue
My card no longer works.,technical_issue
I seem to be unable to make any transactions.,technical_issue
I can't get my actual card to work,technical_issue
My card doesn't work when I use it.,technical_issue
What do I do if my card gets broken?,technical_issue
I am having problems with my physical card.,technical_issue
How can I get my card to work?,technical_issue
I need help with understanding why my card is not working.,technical_issue
Please help me!  My physical card isn't working right.,technical_issue
My card stopped working. How do I check if there is a freeze on it?,technical_issue
"I don't know what's wrong with my card, but it has not worked at multiple places today.",technical_issue
I need clarity on why my card is not working.,technical_issue
My card won't physically work.,technical_issue
What's going on? My card wont accept any transactions.,technical_issue
My card don't work.,technical_issue
My card won't work right now.,technical_issue
How can it be that my Card is not functioning anymore?,technical_issue
What's going on with my card? I've tried multiple times and it never goes through.,technical_issue
HOW LONG TO TAKE THE TIME TO SOLVE,technical_issue
What do I do if my card is not working?,technical_issue
What should I do if my physical card isn't working?,technical_issue
The card that I have isn't working. This is the physical card.,technical_issue
Has there been any activity on my card today?,account_security
I lost my wallet and all my cards were in it.,account_security
I'm panicking!  I lost my card!  Help!,account_security
I need to report a stolen card,account_security
How do I replace a stolen card?,account_security
Can you provide information for freezing my card immediately?,account_security
What's the phone number to freeze a card?,account_security
I can't find my card! Can you help?,account_security
"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP.",account_security
Help! I lost my card!,account_security
My card is missing.  Please help.,account_security
I think that my card has been stolen!,account_security
My card was stolen,account_security
A fee shouldn't apply to me if my card was stolen.,account_security
"My card has been stolen. I reported it with the police, but I need to report it with you as well.",account_security
Can you tell me the status of my new card?,account_security
My card has been stolen what do I do?,account_security
"I can't find my card, it is lost.",account_security
My card is lost!  Please help me!,account_security
I believe that my card has been stolen!,account_security
What should I do if I think my card was stolen?,account_security
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,account_security
"I thought I left my card at a restaurant, but they claim not to have it and now I don't have any idea where it is. I'm so worried that someone might be using it fraudulently. Is there any way to look into this?",account_security
My bag got stolen with all my cards. Can you please cancel my card and send a new one?,account_security
I think my card is stolen!,account_security
"Help!  I fear that my card was stolen,",account_security
Someone stole my card!,account_security
Are you able to guide me to my card's location?,account_security
How can I report that my card was stolen? I made a police report first.,account_security
My card is missing!  Help!,account_security
"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",account_security
Could you please freeze my card immediately?,account_security
"i need help, i lost my card",account_security
What can I do if I lost my card?,account_security
I think that the card is stolen.  What are my next steps?,account_security
What do I do if my card is stolen?,account_security
My card is stolen.  Help!,account_security
I lost track of my card,account_security
Report stolen card,account_security
Help!  My card is stolen.,account_security
"My card was lost on vacation, I don't know where it is. Can you help me take care of this immediately?",account_security
I have lost my card! What is my next step?,account_security
My card has been lost! help!,account_security
What do I do if my card has been lost or stolen?,account_security
Help Me!  I lost my card.  What should I do?,account_security
Someone stole my wallet with my card in it while vacationing in Spain. I really need my card blocked and a new one ordered.,account_security
Who can I speak with regarding a lost card?,account_security
My card has gone missing.,account_security
oh my god I lost my card! what should I do?,account_security
I can't find my card!  What should I do?,account_security
What is the first step that I should take after my card has been stolen?,account_security
I seem to have lost my card.,account_security
My card was stolen. What do I need to do?,account_security
Someone took my card without permission,account_security
I lost my card n need a new one.,account_security
My card has been lost / stolen,account_security
I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card?,account_security
Please help me.  My card is missing.,account_security
"I lost my card, what do I do now?",account_security
I need to order a new card as my other one was stolen.,account_security
I think someone stole my card because I can't find it.,account_security
What are the steps I need to do if I have a stolen card?,account_security
I cant find my card.,account_security
I think my card is lost.  What do I do?,account_security
What should I do if my card is stolen?,account_security
How do I deactivate a stolen card?,account_security
"I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away.",account_security
Someone took my card without my permission.,account_security
Need help with a stolen card.,account_security
"help, lost my card",account_security
What do I do if my card was stolen.,account_security
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,account_security
My card is missing.,account_security
How do I report my card as lost or stolen?,account_security
Is there any way for you to find my card?,account_security
I've lost my card. What can I do about that?,account_security
I left my card at a restaurant and now its missing.,account_security
Can you help me retrieve my card?,account_security
I lost my card. Can you help me?,account_security
What should I do?  My card has been stolen!,account_security
My card was stolen last night.,account_security
Could you assist me in finding my lost card?,account_security
Should i uninstall the app before i try it again?,technical_issue
How come when I tried to pay contactless at the bus it didnt work?,technical_issue
Why is my contactless not working?,technical_issue
My contactless payments don't work.,technical_issue
how many days processing new card?,technical_issue
I'm confused. My contactless is suddenly not working anywhere that I try to use it. How do I fix it?,technical_issue
Would reinstalling the app solve the problem?,technical_issue
I've tried using my contactless in several locations today and it's not working anywhere. It seemed fine before. How do I get it to work again?,technical_issue
What do I have to do to get the contactless to work?,technical_issue
The terminal I paid at wouldn't take my card. Is something wrong?,technical_issue
Why wasn't my contactless accepted at the metro?,technical_issue
Can I make a contactless payments?,technical_issue
I can't get a contactless payment to work.,technical_issue
Contactless payments need to be enabled for my card.,technical_issue
Help me to set up contactless payments.,technical_issue
My contactless stopped working today for no good reason. It's not working no matter where I try to use it. Can you please help me fix it?,technical_issue
I'm confused ass to why my contactless is not working.,technical_issue
I need help fixing my contactless. It's not working anywhere I go today.,technical_issue
The contactless payments are not working.,technical_issue
how to get new card?,technical_issue
How do I troubleshoot my contactless?,technical_issue
How can I fix my contactless?,technical_issue
Any charges applicable for new card?,technical_issue
I have a contactless that's broken.,technical_issue
My contactless is non-functional.,technical_issue
How can i get new card?,technical_issue
My contactless stopped working today no matter where I try to use it. How do I get it to start working again?,technical_issue
How do I troubleshoot when contactless doesn't work?,technical_issue
How can I fix my card if the contactless function didn't work this morning?,technical_issue
"I was trying to use contactless earlier, but it didn't work.",technical_issue
Why wouldn't my contactless work for the metro?,technical_issue
Are my contactless settings correct? I tried to use it today but it wasn't working.,technical_issue
I am having problems with my contactless.,technical_issue
"I am having issues using contactless payments, could my card be damaged?",technical_issue
"What is the reason when I tried to pay contactless at the bus, it didnt work?",technical_issue
Cancel a transaction,order_cancellation
Am I able to cancel a transfer I just made,order_cancellation
"I needed to make a payment on my account, but I typed in the incorrect number.  The app won't allow me to cancel this transaction.  I need it cancelled ASAP!!",order_cancellation
